,Owner,"Country, region",Country Code,Status,Overview,Key Developments,User,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
1,Victor,Ecuador,ECU,Cancelled,"Ecuador was the first country to issue a digital currency (the so-called dinero electrónico, or DE) in 2014. Widely mistrusted by citizens, the DE accounted for less than .003% of currency in circulation in 2016 and was abolished by the National Assembly in December 2017.","In 2014 the government of Ecuador, announced that the Ecuadorian Central Bank (BCE) would begin issuing the dinero electrónico, or DE. By February 2015, users could keep account balances on the central bank's balance sheet and transfer them using a mobile phone app, provided by a state-owned mobile phone company, CNT. 

Ecuador ""dollarized"" its monetary system in 2000, and the DE was intended to be a claim against the government's U.S. dollar reserves. However, given the government defaulted on sovereign dollar-denominated bonds in 2008, the DE was not perceived to be as safe as deposits held in commercial banks. Further, the DE was widely viewed as a way for the government to gain monopoly profits, since only the state-owned company could provide mobile payments services.

In 2016, the value of all DE in circulation was less than $800,000 (0.003% of the monetary liabilities of the Ecuadorian financial system) with only 1,100 transactions per day. In December 2017, Ecuador’s National Assembly passed legislation to abolish the central bank electronic money system and outsource e-payment systems to private banks. In March 2018, the system was fully deactivated and all accounts closed, after the government had spent more than $7MM on the project.
",NA, CNT (State-owned mobile phone company),Centralized Mobile Payment,"Fausto Villavicencio, responsible for the new payment mechanism in Ecuador, said that the authorities expect that some 500,000 people will use e-money in 2015."" (The actual number of accounts opened in 2015 turned out to be less than 5000. )",02.2015-03.31.2018,"https://cointelegraph.com/news/state-issued-digital-currencies-the-countries-which-adopted-rejected-or-researched-the-concept
https://www.alt-m.org/2018/03/29/the-worlds-first-central-bank-electronic-money-has-come-and-gone-ecuador-2014-2018/

",
2,Eve,Senegal,SEN,Cancelled,"While a regional bank issued a digital version of the CFA franc, the Central Bank of the West African States disassociated from the initiative. ","Banque Régionale de Marchés (BRM), a West African regional bank, announced the issuance a ""national digital currency"" in Senegal in late 2016, creating the eCFA. eCFA was created with technology provided by eCurrency Mint Limited, an Ireland-based startup. The only relationship that eCFA has with the central bank appears to be that the eCFA is in compliance with e-money regulations of Banque Centrale des Etats de l’Afrique de l’Ouest (BCEAO), the Central Bank of the West African Economic and Monetary Union (WAEMU). 

WAEMU backed away from its association with eCFA, however, in a statement in April 2017, warning BRM against the use of the term eCFA “to prevent any kind of confusion with the legal currency” in the region.",NA,,,"d'Akuwa Azoma, the Director of Systems and Means of Payment at the BCEAO disassociated the central bank from eCFA, ""There is no attachment of the e-CFA to the UEMOA zone. Nor is an electronic version of the CFA franc provided by the BCEAO. The issuance of the CFA franc is the sole responsibility of the Central Bank.""",,"https://www.agenceecofin.com/commerce/0704-46420-la-bceao-desapprouve-la-creation-de-la-monnaie-electronique-de-la-brm
https://africanbusinessmagazine.com/african-banker/senegal-creates-digital-currency-history/
https://www.bloomberg.com/news/articles/2017-04-06/west-african-digital-currency-project-shunned-by-central-bank",
3,Amy,Brazil,BRA,Launched,"In February 2020, the Central Bank of Brazil (BCB) launched its own official payment network, Pix, which allows instant money transfer and QR code scanning. Pix had its soft launch in November 2020, and Brazilian officials have scheduled mass adoption of Pix for 2021. In October 2020, the Minister of Economic Affairs, Paulo Guedes, announced a potential April 2021 initial public offering of the digital bank Caixa Economica Federal. The digital Real is expected to enter circulation by 2022, and there are current talks of WhatsApp Pay launching in Brazil as well.","Pix was plugged into the platforms of 735 financial services institutions in Brazil, as of December 2020. By December 3rd, 2020, BCB had registered over 100 million Pix keys. ",NA,,DLT,,Nov 2020: Launch of Pix,"https://portal.apexbrasil.com.br/regulatory_report/central-bank-of-brazil-bcb-launches-the-brazilian-instant-payment-scheme-and-its-brand-pix/
https://thepaypers.com/case-study/pix-goes-live-updated-numbers-on-the-new-instant-payment-method-in-brazil--1246254
https://cointelegraph.com/news/brazils-pix-payments-system-has-the-same-spirit-but-not-a-blockchain-structure
https://news.bitcoin.com/brazil-instant-payment-system-pix/ 
https://www.zdnet.com/article/brazils-instant-payments-system-pix-gains-popularity-among-wealthy-consumers/
(Not cited/used) https://www.bcb.gov.br/htms/public/inovtec/Currency-in-the-Digital-Era.pdf
",
4,Victor / Eve,Cambodia,KHM,Development,"In October 2020, the National Bank of Cambodia launched Bakong, which is a DLT-based interbank payment system, with the goal of promoting financial inclusion and supporting rural financial sector development.","In July 2019, the NBC tested Project Bakong, a real time interbank payments system with its own digital currency. Today, the system links 11 domestic commercial banks and payments processors, although the NBC plans to build out cross-border capabilities. In October, NBC signed an agreement with a Malaysion bank to begin experimenting with digital wallets for cross-border transactions. 
Developed in partnership with Soramitsu, a Japanese fintech firm, Bakong is designed to allow end users to set up a wallet connected to their bank accounts. 
The NBC is primarily motivated by financial inclusion, in a country where the vast majority of citizens are unbanked but where mobile penetration rates are increasing dramatically. In addition, Cambodia has a severely underdeveloped payments system with no real-time payments capabilities in the interbank network or between merchants and banks. Bakong is exploring blockchain-based payments technology as a solution to both modernize and expand the reach of the system.",NA,"Soramitsu, PPCBank, Hyperledger",Permissioned Centralized Ledger,"Chea Serey, Director General of the National Bank of Cambodia, said that the Bakong will be operational within fiscal quarter of 2020",18.07.2019,"https://www.coindesk.com/cambodia-readies-a-blockchain-based-digital-currency https://www.chainnews.com/articles/341188730271.htm#:~:text=%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%9B%BD%E5%AE%B6%E9%93%B6%E8%A1%8C%E7%9A%84%E6%96%B0,%E5%9D%97%E9%93%BE%E9%A1%B9%E7%9B%AE%EF%BC%8C... https://www.bloomberg.com/press-releases/2020-01-31/soramitsu-develops-world-s-first-blockchain-based-retail-payments-system-with-national-bank-of-cambodia",
5,Amanda,Canada,CAN,Development,"The Bank of Canada currently harbors no plans to launch a digital currency. However, it maintains an initiative to build the capability to launch a national digital currency should the need arise. This is part of a broader strategy for the Bank of Canada to fulfill its mandate and address any possible developments with regards to the future of payments and money.","Canada’s digital currency initiative is one among a portfolio of contingencies to adapt to any possible scenario, and prepare for the future of money and payments. According to the Bank of Canada, it would consider launching a digital currency if “the use of bank notes were to decline to a point where Canadians no longer had the option of using them for a wide range of transactions;” or a competing digital currency were to become a widespread alternative to the Canadian dollar. 

In early December, Timothy Lane, the Bank of Canada deputy governor in charge of financial technology, stated that COVID-19 may expedite Canada’s need for a CBDC. The pandemic has accelerated the move towards a digital economy, and less widespread cash usage indicates that a fundamental shift may occur sooner than anticipated. However, the Bank of Canada still does not have a concrete timeline for launch.
 
On November 15th, 2018, the Bank of Canada, Bank of England, and Monetary Authority of Singapore jointly published a report examining alternative models for cross-border transactions. The report looked at three models, one of which used Wholesale Central Bank Digital Currency, and concluded “the models could be used to improve access, speed and transparency of cross-border payments.”

Canada also piloted Project Jasper in 2017 which experimented with distributed ledger technologies for payments. 
",NA,"Accenture, R3, Bank of England, Monetary Authority of Singapore",DLT (R3 Corda),,,https://www.r3.com/wp-content/uploads/2020/04/r3_CBDC_report.pdf https://www.bankofcanada.ca/research/digital-currencies-and-fintech/projects/ https://www.bankofcanada.ca/wp-content/uploads/2020/10/san2020-21.pdf https://www.cigionline.org/articles/timothy-lane-future-digital-currencies,
6,Ole / Eve,France,FRA,Development,"The Bank of France completed a CBDC experiment for interbank settlements in December 2020, with 2 million euros worth of simulated shares purchased and sold with a CBDC. The test is experimental and will not be used commercially, but it intends to investigate a digital euro system.","The experimentation program has three objectives in mind, as noted in a March 2020 statement: show how “traditional” interbank settlement could be carried out using CBDC, identify the benefits of CBDC for the current market and understand how CBDC could foster financial innovation, and analyze the effects of CBDC on financial stability, monetary policy, and the regulatory environment. 

In the July 2020 statement announcing the 8 candidates to participate in the experimentation program, the Bank of France further described the role that the selected candidates will play, "" (i) to explore new methods of exchanging financial instruments (excluding crypto-assets) for central bank money, (ii) to test the regulation in digital central bank money in order to improve the conditions for carrying out cross-border payments and (iii) revisit the arrangements for making central bank money available.""",NA,,,"Bank of France: “These experiments will act as a contribution by the Banque de France to a broader discussion within the Eurosystem, which will make any decision on whether to set up a CBDC. The tests are not intended to be continued on a long-term basis or applied on a wide scale by the Banque de France itself.”",,"https://www.banque-france.fr/sites/default/files/media/2020/03/30/fact_sheet_-_central_bank_digital_currency_30_march_2020.pdf
https://cointelegraph.com/news/frances-cbdc-test-moves-digital-euro-one-step-closer-to-reality
https://cointelegraph.com/news/bank-of-france-launches-experiment-program-on-central-bank-digital-currency
https://finance.yahoo.com/news/france-central-bank-selects-eight-150408410.html",
7,Victor,Marshall Islands,MHL,Development,"The Republic of the Marshall Islands (RMI) revealed a planned digital currency, the Marshallese Sovereign (SOV) in February 2018 as a second legal tender (in addition to the U.S. dollar). However, the SOV is not considered a CBDC because it is not the liability of a central bank.","In February 2018, the RMI Parliament passed the “Declaration and Issuance of the Sovereign Currency Act 2018”, allowing the Ministry of Finance to issue the SOV and recognizing it as legal tender alongside the U.S. dollar. The SOV is expected to be issued in 2020 via an initial coin offering (ICO). 

SOV's blockchain infrastructure is being developed by SFB Technologies, a NY-based fintech firm, and will use a protocol developed by Algorand, a blockchain startup founded by MIT professor Silvio Micali. 

The SOV is not a digital representation of fiat currency (there is no policy that it will be redeemable for U.S. dollars) but derives its value through the ICO. According to the IMF, the SOV is not a CBDC since RMI does not have a central bank; moreover, the IMF states that SOV poses financial integrity, monetary instability, cyber, and criminal misuse risks, which outweigh its potential benefits. 

",NA,"SFB Technologies, Algorand",permissioned PoS (Algorand protocol),"Kenneth Kedi, Speaker at the RMI Parliament, claiming ""the addition of Algorand strengthens the team behind the SOV initiative as well as further development of the financial services industry in the country.""",03.02.2020,"https://www.imf.org/~/media/Files/Publications/CR/2018/cr18271.ashx https://atozmarkets.com/news/marshall-islands-launches-cbdc-algorand-blockchain/ 
https://cointelegraph.com/news/marshall-islands-sovereign-digital-currency-will-be-based-on-algorand"," “Declaration and Issuance of the
Sovereign Currency Act 2018” (the “SOV Act” or the law)"
8,Amy,South Africa,ZAF,Development,"The South Africa Reserve Bank (SARB) is conducting a feasibility project to weigh the possibility of CBDC. The Bank is also working as part of the Intergovernmental Fintech Working Group (IFWG), established in late 2016, to investigate fintech innovation with financial stability and consumer protection. ","In March 2019, before the feasibility project was announced, SARB invited bids from private companies to develop CBDC infrastructure. According to the BIS Quarterly Review, “the scope of this project is specific to the use of a CBDC as electronic legal tender (ELT), similar to the characteristics of, and complementary to, cash.” 

In planning its potential CBDC, South Africa will likely weigh security heavily, according to South Africa’s Ombudsman for Banking Services, Reana Steyn, who says “internet banking fraud continues to be the most prevalent complaint made by South African banking customers.”
",NA,,,,,"https://www.resbank.co.za/AboutUs/Departments/FinancialServices/ProcNew/Pages/Publications.aspx?sarbweb=9f333ff2-bf64-4708-a361-076bd6802ff4&sarblist=fdf9dae8-3990-44d4-b89a-c87649f22461&sarbitem=40
https://www.centralbanking.com/fintech/cbdc/4220501/sarb-announces-cbdc-feasibility-project
https://www.ifwg.co.za/about-us/
https://www.theglobaltreasurer.com/SARB-wants-to-test-CBDC-based-on-native-currency
https://www.bis.org/publ/qtrpdf/r_qt2003.pdf 
https://www.globalgovernmentforum.com/south-africa-scouts-state-backed-digital-currency/",
9,Victor,UAE,ARE,Development,"Saudi Arabia and the United Arab Emirates are jointly developing a shared CBDC called Aber for remittances and domestic transactions. The joint report on the yearlong project found a dual-issued CBDC ""technically viable"" for cross border payments. Also, the government of the city of Dubai has revealed their own blockchain-based cryptocurrency emCash in 2017, but no news has been released since.","In Jan 2019, the Saudi Arabian Monetary Authority (SAMA) and the United Arab Emirates Central Bank (UAECB) announced a common digital currency project, "" Aber"", for financial settlements between Saudi Arabia and the United Arab Emirates. The purpose of the project is to improve the efficiency of international remittances and develop an additional system for domestic payments settlement in case of disruption. Neither country has yet revealed a timeline for the CBDC, nor have they stated specifics on the underlying blockchain structure or whether it will be pegged to fiat currencies.

In September 2017, the government of Dubai announced an encrypted digital currency, emCash, that will be used to pay for public and private services. emCash will be developed by Emcredit, a state-backed subsidiary of the Department of Economic Development in collaboration with the U.K.-based startup Object Tech Grp Ltd. However, the project is in early stages and no additional information has been released.",NA,"Object Tech Grp Ltd, Pundi X",DLT,"Ali Ibrahim, Deputy Director General of Dubai Economy, the token will be considered legal tender “for various government and non-government services, from their daily coffee and children’s school fee to utility charges and money transfers.”",Sep 2017,"https://businessblockchainhq.com/business-blockchain-news/dubai-cryptocurrency-emcash-to-become-official-digital-currency/ 
http://www.sama.gov.sa/en-US/News/Pages/news29012019.aspx
http://www.dubaided.ae/English/MediaCenter/Pages/PressReleasesDetails.aspx?ItemId=233",
10,Jeremy,Venezuela,VEN,Development,"As Venezuela struggles with intense hyper-inflation, the government is attempting to create a national digital currency backed by oil reserves, dubbed the ""Petro"", that will facilitate stable payments and bypass global sanctions. However, experts have identified various design and technology flaws with the Petro, which is considered a failed currency absent further development.","The primary impetus for Venezuela’s digital currency is to avoid sanctions and ease economic tension.  President Maduro has claimed that the Petro has raised over $3.3 billion since its launch in February 2018. However, the use of the Petro has been lackluster and has not stemmed Venezuela’s economic decline. 

On the international level, President Trump signed an executive order in 2018 banning Americans from purchasing Petro. Maduro responded by saying, “Donald Trump and his sanctions are blocking Venezuela from carrying out transactions in any of the world’s banks… There’s other formulas to pay, and it’s what we’re using, because our payment system works perfectly in China and Russia.”

Venezuela has engaged in several public-private partnerships to develop the Petro. The Bank of Venezuela has been performing internal tests to make sure it can hold cryptos in its reserves, at the request of state-run Petroleos de Venezuela SA. On the private sector side, some Venezuelan banks have started denominating bank balances in Petro. ",NA,"The Bank of Venezuela has been performing internal tests to make sure it can hold cryptos in its reserves, at the request of state-run Petroleos de Venezuela SA. On the private sector side, some Venezuelan banks have started denominating bank balances in Petro. ",,"Maduro responded by saying, ““Donald Trump and his sanctions are blocking Venezuela from carrying out transactions in any of the world’s banks… There’s other formulas to pay, and it’s what we’re using, because our payment system works perfectly in China and Russia.”",President Maduro has claimed that the Petro has raised over $3.3 billion since its launch in February 2018.,,"Congressional interest in establishing a digital dollar has also grown amid COVID-19. Notably, Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Given technological challenges and subsequent delays in delivering stimulus payments to millions of American households and taxpayers, lawmakers are exploring the digital dollar as a means to promote financial inclusion and a more efficient payments system. Senators Rashida Tlaib (D-Mich.) and Pramila Jayapal (D-Wash.) introduce the ABC-Act on April 16 which calls for the creation of “FedAccounts” and “e-Wallets” to help administer funds directly to people via the Fed.
Congressmen Foster and Hill wrote a letter to Chairman Powell on September 30, 2019 asking him to consider what it would look like to implement a CBDC and what some of the design considerations would be.
Senator Nancy Pelosi had penned a bill in March 2020 (“Take Responsibility Act”) that originally included the recommendation to create a digital dollar, but the final bill had this removed."
