,Country,Status,Overview,Key Developments,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
1,Australia,Research,"The Reserve Bank of Australia (RBA) is actively exploring the use of a wholesale eAUD. To that end, the RBA conducted a proof of concept to simulate a wholesale settlement system involving commercial banks in the country. The RBA is committed to continue this research throughout 2020 to ascertain the viability of a digital Australian dollar. ","In a December 2019 paper, the RBA echoed warnings from other central banks about the need to thoroughly study downside risks of CBDC for financial stability. At this point, the bank argued that a wholesale CBDC holds more promise than a retail version, given ample availability of digital money that households are already using. Thus, the RBA set-up an innovation lab to research a wholesale settlement system based on a “private, permissioned Ethereum network.” During the proof-of-concept the RBA simulated issuing tokens to commercial banks, having those banks exchange the tokens, and ultimately redeeming the tokens. The RBA is considering partnering with external stakeholders to continue studying how a wholesale CBDC might help the bank to better fulfill its mandate. ",collaboration with one or more external partners,"private, permissioned Ethereum network",,,https://www.rba.gov.au/publications/submissions/payments-system/financial-and-regulatory-technology/,
2,The Bahamas,Pilot,"In December 2019, the Central Bank of the Bahamas launched the Sand Dollar project on the island of Exuma. The plan is to roll out the digital currency across the entire country by the second half of 2020.","The Central Bank of the Bahamas announced the launch of its CBDC pilot in December 2019, starting in Exuma and extending to Abaco in the first half of 2020. The initiative is named Project Sand Dollar. The motivations for the CBDC pilot include improving financial inclusion and strengthening security against money laundering or illicit economic activities.

In the statement announcing Project Sand Dollar, the Central Bank of the Bahamas noted that it will ""simultaneously promote the development of new regulations for the digital currency, and strengthen consumer protection, especially around data protection standards"" as the pilot in Exuma progresses.

The Central Bank is planning to roll out the CBDC across all islands in the second half of 2020.",,,https://www.centralbankbahamas.com/news.php?id=16660&cmd=view,,https://www.centralbankbahamas.com/download/022598600.pdf,
3,Brazil,Development,"In February 2020, the Central Bank of Brazil (BCB) launched its own official payment network, Pix, which allows instant money transfer and QR code scanning. Though Pix is currently in testing stages and not open to the public until November 2020, Brazilian officials have scheduled mass adoption of Pix for 2021. ","All major banks, as well as BCB licensed financial and payment processing institutions with over 500,000 accounts, will be required to participate in Pix by the Central Bank of Brazil. ",,DLT,,,"https://portal.apexbrasil.com.br/regulatory_report/central-bank-of-brazil-bcb-launches-the-brazilian-instant-payment-scheme-and-its-brand-pix/
https://cointelegraph.com/news/brazils-pix-payments-system-has-the-same-spirit-but-not-a-blockchain-structure
https://news.bitcoin.com/brazil-instant-payment-system-pix/

(Not cited/used) https://www.bcb.gov.br/htms/public/inovtec/Currency-in-the-Digital-Era.pdf
",
4,Cambodia,Development,The National Bank of Cambodia has developed and deployed the first batch of its CBDC as part of “Project Bakong”.,"In July 2019, NBC tested Project Bakong, a real time interbank payments system with its own digital currency. Today, the system links 11 domestic commercial banks and payments processors, although the NBC plans to build out cross-border capabilities. In October, NBC signed an agreement with a Malaysion bank to begin experimenting with digital wallets for cross-border transactions. 

Developed in partnership with Soramitsu, a Japanese fintech firm, Bakong is designed to allow end users to set up a wallet connected to their bank accounts. Bakong wallets will exchange fiat currency to the new CBDC and facilitate real time payments between all users connected to the network. The NBC will store centralized records of transactions. 

The NBC is primarily motivated by financial inclusion, in a country where the vast majority of citizens are unbanked but where mobile penetration rates are increasing dramatically. In addition, Cambodia has a severely underdeveloped payments system with no real-time payments capabilities in the interbank network or between merchants and banks. Bakong explores blockchain-based payments technology as a solution to both modernize and expand the reach of the system. ","Soramitsu, PPCBank, Hyperledger",Permissioned Centralized Ledger,"Chea Serey, Director General of the National Bank of Cambodia, said that the Bakong will be operational within fiscal quarter of 2020",18.07.2019,"https://www.coindesk.com/cambodia-readies-a-blockchain-based-digital-currency https://www.chainnews.com/articles/341188730271.htm#:~:text=%E6%9F%AC%E5%9F%94%E5%AF%A8%E5%9B%BD%E5%AE%B6%E9%93%B6%E8%A1%8C%E7%9A%84%E6%96%B0,%E5%9D%97%E9%93%BE%E9%A1%B9%E7%9B%AE%EF%BC%8C... https://www.bloomberg.com/press-releases/2020-01-31/soramitsu-develops-world-s-first-blockchain-based-retail-payments-system-with-national-bank-of-cambodia",
5,Canada,Development,"The Bank of Canada currently harbors no plans to launch a digital currency. However, it maintains an initiative to build the capability to launch a national digital currency should the need arise. This is part of a broader strategy for the Bank of Canada to fulfil its mandate and address any possible developments with regards to the future of payments and money.","Canada’s digital currency initiative is one among a portfolio of contingencies to adapt to any possible scenario, and prepare for the future of money and payments. According to the Bank of Canada, it would consider launching a digital currency if “the use of bank notes were to decline to a point where Canadians no longer had the option of using them for a wide range of transactions;” or a competing digital currency were to become a widespread alternative to the Canadian dollar. 
 
On November 15th, 2018, the Bank of Canada, Bank of England, and Monetary Authority of Singapore jointly published a report examining alternative models for cross-border transactions. The report looked at three models, one of which used Wholesale Central Bank Digital Currency, and concluded “the models could be used to improve access, speed and transparency of cross-border payments.”

Canada also piloted Project Jasper in 2017 which experimented with distributed ledger technologies for payments. ","Accenture, R3, Bank of England, Monetary Authority of Singapore",DLT (R3 Corda),,,https://www.r3.com/wp-content/uploads/2020/04/r3_CBDC_report.pdf,
6,China,Pilot,"In April 2020, China became the world first major economy to pilot a digital currency. People's Bank of China are aiming for widespread domestic use of the DC/EP by the 2022 Winter Olympics in Beijing.","Since 2014, The People's Bank of China has established a special research group on legal digital currency to demonstrate the feasibility of the central bank issuing legal digital currency. China launched a project called Digital Currency/Electronic Payments, or “DC/EP”, in 2017, amid a wider push to develop its high-technology sectors. Chinese officials described the currency as having “controllable anonymity”, giving the government far-reaching powers to identify money laundering and other illicit activity. Chinese leaders may also be seeking to reduce reliance on U.S. financial institutions and oversight.

The DC/EP project accelerated in 2019 when Facebook introduced Libra. “If Libra is accepted by everyone and becomes a widely used payment tool, then after some time, it is entirely possible that it will develop into a global, super-sovereign currency,” according to Mu Changchun, Director of PBoC Digital Currency Research Institute. “We need to plan ahead to protect our monetary sovereignty.”

In April 2020, China piloted the digital currency in four cities, allowing commercial banks to run internal tests like conversions between cash and digital money, account-balance checks, and payments. The digital currency is expected to formally launch later in 2020, and replace significant portions of physical cash in circulation by 2022.
",,UTXO Mode/Centralized Ledger,"Yao Qian, Former Director of PBoC Digital Currency Research Institute
01.02.2019
The central bank is conducting digital currency research and development experiments

Fan Yifei, Deputy governor of the PBoC
02.21.2019
Reform and innovation should be strengthened and the PBoC’s DC/EP research and development should be further promoted.

Huang Qifan, Vice Chairman of China International Economic Exchange Center, Former deputy director of the Finance Committee of the National People's Congress of China
10.28.2019 at the Bund Financial Summit 2019
PBoC is likely to be the world's first central bank to launch digital currency

Changchun Mu, Director of PBoC Digital Currency Research Institute
12.21.2019 at 2019 Annual Meeting of Chinese Finance Society
At present, the People's Bank of China's DC/EP has basically completed the top-level design, standard formulation, functional research and development, joint debugging testing, etc.
","2014, The People's Bank of China has established a special research group on legal digital currency to demonstrate the feasibility of the central bank issuing legal digital currency
01.20.2016 The PBoC first proposed the goal of publicly issuing digital currencies
01.29.2017 The PBoC officially established the Digital Currency Research Institute
05.27.2019 The PBoC's Digital Currency Research Institute began piloting the ""Bay Area Trade Finance Blockchain Platform"", or ""PBCTFP"" for short, in September 2018. Until May 2019, PBCTFP has built 4 applications, 26 banks participated, completed more than 17,000 transactions, and transacted total of more than 4 billion yuan.
04.15.2020 The PBoC’s digital currency electronic payment (DCEP), had begun internal testing at the Agricultural Bank of China. 
04.22．2020 The Xiong'an New District government held a pilot presentation on the DCEP to 19 units, includes McDonald's, Starbucks.
","http://finance.sina.com.cn/money/nmetal/roll/2019-01-02/doc-ihqhqcis2474934.shtml
https://baijiahao.baidu.com/s?id=1648615285296719477&wfr=spider&for=pc
http://www.bjnews.com.cn/finance/2019/12/23/665206.html
http://www.xinhuanet.com/globe/2019-07/25/c_138253154.htm",
7,Denmark,Inactive,"The Central Bank of Denmark conducted research on CBDC in 2016 and 2017, and determined that it would pose significant legal, financial, and administrative challenges, without clear benefits for the Danish society. It currently has no plans to issue a CBDC.","The Central Bank of Denmark explored the viability for a national digital currency (E-kroner) in 2016 and 2017. The critical question, Central Bank Governor Lars Rohde noted was whether the CBDC ""should be anonymous or not.""

In its December 2017 report, the Danish Central Bank concluded that ""the potential benefits of introducing central bank digital currency for households and businesses in Denmark would not match the considerable challenges which this introduction would present."" Citing Denmark's existing secure and effective payment infrastructure, the report noted that the efficiency gains from a CBDC does not outweigh the risks of financial instability that a CBDC can lead to the risk of systemic bank runs.",,,,,http://www.nationalbanken.dk/en/publications/Documents/2017/12/Analysis%20-%20Central%20bank%20digital%20currency%20in%20Denmark.pdf,
8,Eastern Caribbean,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
9,Ecuador,Cancelled,"Ecuador was the first country to issue a digital currency (the so-called dinero electrónico, or DE) in 2014. Widely mistrusted by citizens, the DE accounted for less than .003% of currency in circulation in 2016 and was abolished by the National Assembly in December 2017.","In 2014 the government of Ecuador, announced that the Ecuadorian Central Bank (BCE) would begin issuing the dinero electrónico, or DE. By February 2015, users could keep account balances on the central bank's balance sheet and transfer them using a mobile phone app, provided by a state-owned mobile phone company, CNT. 

Ecuador ""dollarized"" its monetary system in 2000, and the DE was intended to be a claim against the government's U.S. dollar reserves. However, given the government defaulted on sovereign dollar-denominated bonds in 2008, the DE was not perceived to be as safe as deposits held in commercial banks. Further, the DE was widely viewed as a way for the government to gain monopoly profits, since only the state-owned company could provide mobile payments services.

In 2016, the value of all DE in circulation was less than $800,000 (0.003% of the monetary liabilities of the Ecuadorian financial system) with only 1,100 transactions per day. In December 2017, Ecuador’s National Assembly passed legislation to abolish the central bank electronic money system and outsource e-payment systems to private banks. In March 2018, the system was fully deactivated and all accounts closed, after the government had spent more than $7MM on the project.
", CNT (State-owned mobile phone company),Centralized Mobile Payment,"Fausto Villavicencio, responsible for the new payment mechanism in Ecuador, said that the authorities expect that some 500,000 people will use e-money in 2015."" (The actual number of accounts opened in 2015 turned out to be less than 5000. )",02.2015-03.31.2018,"https://cointelegraph.com/news/state-issued-digital-currencies-the-countries-which-adopted-rejected-or-researched-the-concept
https://www.alt-m.org/2018/03/29/the-worlds-first-central-bank-electronic-money-has-come-and-gone-ecuador-2014-2018/

",
10,Estonia,Inactive,"In 2014, Estonia announced the creation of estcoins, crypto token distributed and traded amongst the nation's ""e-residents"". After pushback from the ECB, the Estonian government clarified that estcoins are not a national digital currency meant to replace the euro.","Estonia's e-Residency program, which allows foreign nationals to apply for an Estonian digital ID and gain access to digital services, announced the proposal for a digital token, named ""Estcoin,"" in 2017. 

The government has proposed three variants of the estcoin: (1) a payment mechanism between members of the e-residency community, (2) a digital identity used for activities like digitially signing contracts and enforcing smart contracts, and (3) a euro-pegged token that could be used for low-cost cross-border transactions.

The proposal has been criticized by Mario Draghi and other ECB officials since Estonia is a member of the Euro zone and cannot propose a national digital currency. The Estonian government has clarified that estcoins are not a replacement for the euro, but will be used more narrowly within the e-residency program.",,,"Kaspar Korjus, managing director of the e-Residency program, clarified the Estcoin proposal, ""Much of the criticism of Estcoin was based on the fact that Estonia simply can’t start its own cryptocurrency even if it wanted to. Estonia’s only currency is the euro and this is an essential feature of our EU membership, which we are proud to have. No one here is interested in changing that. That’s why we have always referred to Estcoin as a proposed ‘crypto token’.""",,https://medium.com/e-residency-blog/were-planning-to-launch-estcoin-and-that-s-only-the-start-310aba7f3790,
